fb_username,twitter_handle,youtube_channel_id,video_id,likes,followers,subscribers,video_views,likes 2015-02-02 10:33:33,followers 2015-02-02 10:33:33,subscribers 2015-02-02 10:33:33,video views 2015-02-02 10:33:33
Hillary2016,@HillaryClinton,5,,,2744980,,,408732,2744980,-,-
barackobama,@BarackObama,,,,54205170,,,44883266,54205170,-,-
